map_context,condition,County,cell_id,count,share_of_condition_pct,centroid_lat,centroid_lon
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,148,36,0.6201550387596899,38.988328670337125,-76.9787290009971
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,149,10,0.17226528854435832,39.002771047951164,-76.97680621085058
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,158,3,0.05167958656330749,38.777515163829506,-76.95358491669234
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,160,6,0.10335917312661498,38.80993828752387,-76.95447049720639
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,161,17,0.29285099052540914,38.82614977531213,-76.95491382245986
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,162,22,0.3789836347975883,38.84232938520976,-76.9553151609356
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,163,3,0.05167958656330749,38.85519999733951,-76.95159882112111
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,165,9,0.15503875968992248,38.94031477572989,-76.9571680849677
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,166,32,0.5512489233419465,38.955839898911144,-76.9584733057707
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,167,28,0.48234280792420325,38.97205094187612,-76.95891985606434
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,168,6,0.10335917312661498,38.98826193536755,-76.95936676627271
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,169,4,0.06890611541774332,39.004472879375676,-76.95981403671271
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,171,1,0.01722652885443583,39.03477205595215,-76.95493618968764
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,180,1,0.01722652885443583,38.777859657106,-76.9328743547497
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,181,4,0.06890611541774332,38.794071442040455,-76.9333122816736
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,183,10,0.17226528854435832,38.826494864067286,-76.93418919389383
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,184,11,0.18949181739879414,38.842706501140206,-76.93462817980874
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,185,1,0.01722652885443583,38.85884701872474,-76.93497310381662
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,186,5,0.08613264427217916,38.8715245230007,-76.93096526807706
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,187,1,0.01722652885443583,38.91242429721888,-76.93020757219648
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,188,2,0.03445305770887166,38.92435037216295,-76.93609083468304
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,189,27,0.46511627906976744,38.93997528779989,-76.9372695321137
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,190,15,0.2583979328165375,38.956186579523234,-76.93771099987268
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,191,11,0.18949181739879414,38.972397821872285,-76.9381528234285
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,192,27,0.46511627906976744,38.988609014837394,-76.9385950030943
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,193,2,0.03445305770887166,39.004820158408954,-76.93903753918367
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,194,2,0.03445305770887166,39.021031252577366,-76.93948043201058
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,195,9,0.15503875968992248,39.03724229733298,-76.9399236818894
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,196,7,0.12058570198105081,39.05244959720511,-76.9382257713303
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,197,1,0.01722652885443583,39.06577293192191,-76.93350110494352
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,205,4,0.06890611541774332,38.761988452292954,-76.91173054753165
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,206,1,0.01722652885443583,38.778200482701344,-76.912163440428
Non-motorist crash density by school-catchment context,Inside 1-mile school catchments,Prince George's,207,1,0.01722652885443583,38.794412463929596,-76.91259668193811
